Bulk Edit Items,,,,,,,,,,
Barcode,Item Code,Item Name,Item Group,Warehouse,Quantity,Stock UOM,Valuation Rate,Amount,Quantity Difference,Amount Difference
barcode,item_code,item_name,item_group,warehouse,qty,stock_uom,valuation_rate,amount,quantity_difference,amount_difference
 , , , , , , , , , , 
The CSV format is case sensitive,,,,,,,,,,
Do not edit headers which are preset in the template,,,,,,,,,,
------,,,,,,,,,,
,NV04,BB 13 OKE ULIR TS280,BB,GD. UTAMA - C,0,BTG,90000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,NV03,BB 12 IBS SNI TP280,BBF,GD. UTAMA - C,0,BTG,86750,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,NV02,BB 10 OKE SNI TP280,BB,GD. UTAMA - C,0,BTG,52540,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,NV01,BB 8 OKE SNI TP280,BB,GD. UTAMA - C,0,BTG,33654,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,MAM01,SPANDEK PASIR MERAH 0.25 F,SPD,GD. UTAMA - C,0,LBR,220000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD99,BB 10 IBD ULIR SNI TS280,BBF,GD. UTAMA - C,0,BTG,55260,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD98,BAJA R 28 x 0.40,RENG,GD. UTAMA - C,0,BTG,18750,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD97,BAJA C75 x 0.75 GLC,BJR,GD. UTAMA - C,0,BTG,53000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD906,BB 16 OKE ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,128750,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD88,BB 6 KPSS SNI TP280,BBF,GD. UTAMA - C,0,BTG,23850,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD75,"PAKU HS 6""",PAKU,GD. UTAMA - C,0,DUS,306500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD74,"PAKU HS 5""",PAKU,GD. UTAMA - C,0,DUS,306500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD73,"PAKU HS 4""",PAKU,GD. UTAMA - C,0,DUS,306500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD72,"PAKU HS 3""",PAKU,GD. UTAMA - C,0,DUS,306500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD71,"PAKU HS 2""",PAKU,GD. UTAMA - C,0,DUS,306500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD70,"PAKU HS 1 1/2""",PAKU,GD. UTAMA - C,0,DUS,321500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD522,BB 13 OKE ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,84875,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD29250,GENTENG PASIR MERAH 2 x 4,GENTENG,GD. UTAMA - C,0,PCS,20000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD2925,NOK C PASIR MERAH,NOK,GD. UTAMA - C,0,PCS,11000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD2908,DINABOL 10 x 65,DB,GD. UTAMA - C,0,PCS,1700,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD2808,WD @ 20 PCS,WD,GD. UTAMA - C,0,PAK,50000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD2705,BB 10 JAS SNI TP280,BBF,GD. UTAMA - C,0,BTG,55260,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD25,BB 13 KSSG ULIR SNI TS280,BBF,GD. UTAMA - C,0,BTG,94250,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD24,BB 12 OKE SNI TP280,BB,GD. UTAMA - C,0,BTG,70050,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD227,BB 10 JAS ULIR SNI TS280,BBF,GD. UTAMA - C,0,BTG,57110,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD2212,BB 12 KPSS SNI TP280,BBF,GD. UTAMA - C,0,BTG,89845,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD2115,BB 10 TJ ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,51560,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD2005,BB 8 KSSG SNI TP280,BBF,GD. UTAMA - C,0,BTG,35576,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD1807,KAWAT BWG 18 @25 KG,KAWAT,GD. UTAMA - C,0,ROLL,343000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
